2023-01-04 06:56:54,257 p=24570 u=ubuntu n=ansible | PLAY [Provisioning Server] *****************************************************
2023-01-04 06:56:54,271 p=24570 u=ubuntu n=ansible | TASK [Gathering Facts] *********************************************************
2023-01-04 06:56:55,830 p=24570 u=ubuntu n=ansible | ok: [db01]
2023-01-04 06:56:55,840 p=24570 u=ubuntu n=ansible | ok: [web02]
2023-01-04 06:56:55,847 p=24570 u=ubuntu n=ansible | ok: [web01]
2023-01-04 06:56:55,945 p=24570 u=ubuntu n=ansible | ok: [web03]
2023-01-04 06:56:55,953 p=24570 u=ubuntu n=ansible | TASK [post-install : Install NTP on Centos] ************************************
2023-01-04 06:56:56,106 p=24570 u=ubuntu n=ansible | skipping: [web03] => (item=ntp) 
2023-01-04 06:56:56,111 p=24570 u=ubuntu n=ansible | skipping: [web03] => (item=wget) 
2023-01-04 06:56:56,134 p=24570 u=ubuntu n=ansible | skipping: [web03] => (item=git) 
2023-01-04 06:56:56,154 p=24570 u=ubuntu n=ansible | skipping: [web03] => (item=zip) 
2023-01-04 06:56:56,168 p=24570 u=ubuntu n=ansible | skipping: [web03] => (item=unzip) 
2023-01-04 06:56:56,890 p=24570 u=ubuntu n=ansible | ok: [web01] => (item=ntp)
2023-01-04 06:56:56,894 p=24570 u=ubuntu n=ansible | ok: [web02] => (item=ntp)
2023-01-04 06:56:56,897 p=24570 u=ubuntu n=ansible | ok: [db01] => (item=ntp)
2023-01-04 06:56:57,569 p=24570 u=ubuntu n=ansible | ok: [web02] => (item=wget)
2023-01-04 06:56:57,577 p=24570 u=ubuntu n=ansible | ok: [db01] => (item=wget)
2023-01-04 06:56:57,588 p=24570 u=ubuntu n=ansible | ok: [web01] => (item=wget)
2023-01-04 06:56:58,245 p=24570 u=ubuntu n=ansible | ok: [db01] => (item=git)
2023-01-04 06:56:58,249 p=24570 u=ubuntu n=ansible | ok: [web01] => (item=git)
2023-01-04 06:56:58,256 p=24570 u=ubuntu n=ansible | ok: [web02] => (item=git)
2023-01-04 06:56:58,929 p=24570 u=ubuntu n=ansible | ok: [db01] => (item=zip)
2023-01-04 06:56:58,936 p=24570 u=ubuntu n=ansible | ok: [web01] => (item=zip)
2023-01-04 06:56:58,941 p=24570 u=ubuntu n=ansible | ok: [web02] => (item=zip)
2023-01-04 06:56:59,608 p=24570 u=ubuntu n=ansible | ok: [web01] => (item=unzip)
2023-01-04 06:56:59,610 p=24570 u=ubuntu n=ansible | ok: [db01] => (item=unzip)
2023-01-04 06:56:59,628 p=24570 u=ubuntu n=ansible | ok: [web02] => (item=unzip)
2023-01-04 06:56:59,636 p=24570 u=ubuntu n=ansible | TASK [post-install : Install NTP on Ubuntu] ************************************
2023-01-04 06:56:59,760 p=24570 u=ubuntu n=ansible | skipping: [web01] => (item=ntp) 
2023-01-04 06:56:59,761 p=24570 u=ubuntu n=ansible | skipping: [web01] => (item=wget) 
2023-01-04 06:56:59,764 p=24570 u=ubuntu n=ansible | skipping: [web01] => (item=git) 
2023-01-04 06:56:59,768 p=24570 u=ubuntu n=ansible | skipping: [web01] => (item=zip) 
2023-01-04 06:56:59,769 p=24570 u=ubuntu n=ansible | skipping: [web02] => (item=ntp) 
2023-01-04 06:56:59,772 p=24570 u=ubuntu n=ansible | skipping: [web02] => (item=wget) 
2023-01-04 06:56:59,773 p=24570 u=ubuntu n=ansible | skipping: [web01] => (item=unzip) 
2023-01-04 06:56:59,776 p=24570 u=ubuntu n=ansible | skipping: [web02] => (item=git) 
2023-01-04 06:56:59,780 p=24570 u=ubuntu n=ansible | skipping: [web02] => (item=zip) 
2023-01-04 06:56:59,794 p=24570 u=ubuntu n=ansible | skipping: [web02] => (item=unzip) 
2023-01-04 06:56:59,821 p=24570 u=ubuntu n=ansible | skipping: [db01] => (item=ntp) 
2023-01-04 06:56:59,828 p=24570 u=ubuntu n=ansible | skipping: [db01] => (item=wget) 
2023-01-04 06:56:59,838 p=24570 u=ubuntu n=ansible | skipping: [db01] => (item=git) 
2023-01-04 06:56:59,844 p=24570 u=ubuntu n=ansible | skipping: [db01] => (item=zip) 
2023-01-04 06:56:59,852 p=24570 u=ubuntu n=ansible | skipping: [db01] => (item=unzip) 
2023-01-04 06:57:01,949 p=24570 u=ubuntu n=ansible | ok: [web03] => (item=ntp)
2023-01-04 06:57:03,846 p=24570 u=ubuntu n=ansible | ok: [web03] => (item=wget)
2023-01-04 06:57:05,750 p=24570 u=ubuntu n=ansible | ok: [web03] => (item=git)
2023-01-04 06:57:07,664 p=24570 u=ubuntu n=ansible | ok: [web03] => (item=zip)
2023-01-04 06:57:10,708 p=24570 u=ubuntu n=ansible | ok: [web03] => (item=unzip)
